Round,Accuracy,Representation,Model
1,1.0,STAT,MLP
2,1.0,STAT,MLP
3,0.9796,STAT,MLP
4,0.49346666666666666,STAT,MLP
5,0.4948,STAT,MLP
6,0.5045333333333333,STAT,MLP
7,0.5001333333333333,STAT,MLP
8,0.5037333333333334,STAT,MLP
1,1.0,STAT,CNN
2,1.0,STAT,CNN
3,0.9370666666666667,STAT,CNN
4,0.5070666666666667,STAT,CNN
5,0.5014666666666666,STAT,CNN
6,0.5066666666666667,STAT,CNN
7,0.5012,STAT,CNN
8,0.4861333333333333,STAT,CNN
1,1.0,STAT,SIAMESE
2,1.0,STAT,SIAMESE
3,0.9818666666666667,STAT,SIAMESE
4,0.48973333333333335,STAT,SIAMESE
5,0.5028,STAT,SIAMESE
6,0.5026666666666667,STAT,SIAMESE
7,0.49866666666666665,STAT,SIAMESE
8,0.4984,STAT,SIAMESE
1,1.0,STAT,MLP
2,1.0,STAT,MLP
3,1.0,STAT,MLP
4,0.9936,STAT,MLP
5,0.9482666666666667,STAT,MLP
6,0.7822666666666667,STAT,MLP
7,0.5933333333333334,STAT,MLP
8,0.5046666666666667,STAT,MLP
1,1.0,STAT,CNN
2,1.0,STAT,CNN
3,1.0,STAT,CNN
4,0.9924,STAT,CNN
5,0.9385333333333333,STAT,CNN
6,0.7612,STAT,CNN
7,0.5942666666666667,STAT,CNN
8,0.5044,STAT,CNN
1,1.0,STAT,SIAMESE
2,1.0,STAT,SIAMESE
3,1.0,STAT,SIAMESE
4,0.9936,STAT,SIAMESE
5,0.9488,STAT,SIAMESE
6,0.7769333333333334,STAT,SIAMESE
7,0.5914666666666667,STAT,SIAMESE
8,0.5114666666666666,STAT,SIAMESE
4,1.0,STAT,MLP
8,1.0,STAT,MLP
12,0.968,STAT,MLP
16,0.5618666666666666,STAT,MLP
20,0.5073333333333333,STAT,MLP
24,0.49533333333333335,STAT,MLP
28,0.4996,STAT,MLP
32,0.5129333333333334,STAT,MLP
4,1.0,STAT,CNN
8,1.0,STAT,CNN
12,0.9586666666666667,STAT,CNN
16,0.5472,STAT,CNN
20,0.4948,STAT,CNN
24,0.4952,STAT,CNN
28,0.5078666666666667,STAT,CNN
32,0.5049333333333333,STAT,CNN
4,1.0,STAT,SIAMESE
8,1.0,STAT,SIAMESE
12,0.9634666666666667,STAT,SIAMESE
16,0.5614666666666667,STAT,SIAMESE
20,0.5061333333333333,STAT,SIAMESE
24,0.49506666666666665,STAT,SIAMESE
28,0.4972,STAT,SIAMESE
32,0.5053333333333333,STAT,SIAMESE
1,1.0,STAT,MLP
2,1.0,STAT,MLP
3,1.0,STAT,MLP
4,0.9998666666666667,STAT,MLP
5,0.9992,STAT,MLP
6,0.9909333333333333,STAT,MLP
7,0.9121333333333334,STAT,MLP
8,0.6262666666666666,STAT,MLP
1,1.0,STAT,CNN
2,1.0,STAT,CNN
3,1.0,STAT,CNN
4,0.9998666666666667,STAT,CNN
5,0.9994666666666666,STAT,CNN
6,0.9829333333333333,STAT,CNN
7,0.8036,STAT,CNN
8,0.5009333333333333,STAT,CNN
1,1.0,STAT,SIAMESE
2,1.0,STAT,SIAMESE
3,1.0,STAT,SIAMESE
4,0.9998666666666667,STAT,SIAMESE
5,0.9993333333333333,STAT,SIAMESE
6,0.9924,STAT,SIAMESE
7,0.9112,STAT,SIAMESE
8,0.6050666666666666,STAT,SIAMESE
1,1.0,STAT,MLP
2,1.0,STAT,MLP
3,1.0,STAT,MLP
4,0.9768,STAT,MLP
5,0.7137333333333333,STAT,MLP
6,0.546,STAT,MLP
7,0.5046666666666667,STAT,MLP
8,0.49346666666666666,STAT,MLP
1,1.0,STAT,CNN
2,1.0,STAT,CNN
3,1.0,STAT,CNN
4,0.9942666666666666,STAT,CNN
5,0.7864,STAT,CNN
6,0.5310666666666667,STAT,CNN
7,0.5053333333333333,STAT,CNN
8,0.49266666666666664,STAT,CNN
1,1.0,STAT,SIAMESE
2,1.0,STAT,SIAMESE
3,1.0,STAT,SIAMESE
4,0.9752,STAT,SIAMESE
5,0.7057333333333333,STAT,SIAMESE
6,0.5482666666666667,STAT,SIAMESE
7,0.4958666666666667,STAT,SIAMESE
8,0.5021333333333333,STAT,SIAMESE
1,1.0,STAT,MLP
2,1.0,STAT,MLP
3,1.0,STAT,MLP
4,0.9941333333333333,STAT,MLP
5,0.9161333333333334,STAT,MLP
6,0.6401333333333333,STAT,MLP
7,0.502,STAT,MLP
8,0.5054666666666666,STAT,MLP
1,1.0,STAT,CNN
2,1.0,STAT,CNN
3,1.0,STAT,CNN
4,0.9944,STAT,CNN
5,0.8630666666666666,STAT,CNN
6,0.5928,STAT,CNN
7,0.5094666666666666,STAT,CNN
8,0.5017333333333334,STAT,CNN
1,1.0,STAT,SIAMESE
2,1.0,STAT,SIAMESE
3,1.0,STAT,SIAMESE
4,0.9961333333333333,STAT,SIAMESE
5,0.9148,STAT,SIAMESE
6,0.6354666666666666,STAT,SIAMESE
7,0.4978666666666667,STAT,SIAMESE
8,0.5072,STAT,SIAMESE
1,1.0,STAT,MLP
2,1.0,STAT,MLP
3,0.9989333333333333,STAT,MLP
4,0.9862666666666666,STAT,MLP
5,0.8052,STAT,MLP
6,0.5032,STAT,MLP
7,0.5052,STAT,MLP
8,0.5,STAT,MLP
1,1.0,STAT,CNN
2,1.0,STAT,CNN
3,1.0,STAT,CNN
4,0.986,STAT,CNN
5,0.7626666666666667,STAT,CNN
6,0.5086666666666667,STAT,CNN
7,0.5025333333333334,STAT,CNN
8,0.4965333333333333,STAT,CNN
1,1.0,STAT,SIAMESE
2,1.0,STAT,SIAMESE
3,0.9984,STAT,SIAMESE
4,0.9866666666666667,STAT,SIAMESE
5,0.7989333333333334,STAT,SIAMESE
6,0.4938666666666667,STAT,SIAMESE
7,0.49546666666666667,STAT,SIAMESE
8,0.5024,STAT,SIAMESE
1,1.0,STAT,MLP
2,1.0,STAT,MLP
3,0.6564,STAT,MLP
4,0.5025333333333334,STAT,MLP
5,0.5078666666666667,STAT,MLP
6,0.5092,STAT,MLP
7,0.4936,STAT,MLP
8,0.5025333333333334,STAT,MLP
1,1.0,STAT,CNN
2,1.0,STAT,CNN
3,0.6214666666666666,STAT,CNN
4,0.5005333333333334,STAT,CNN
5,0.49946666666666667,STAT,CNN
6,0.4932,STAT,CNN
7,0.5024,STAT,CNN
8,0.5050666666666667,STAT,CNN
1,1.0,STAT,SIAMESE
2,1.0,STAT,SIAMESE
3,0.6536,STAT,SIAMESE
4,0.5022666666666666,STAT,SIAMESE
5,0.4988,STAT,SIAMESE
6,0.5026666666666667,STAT,SIAMESE
7,0.4988,STAT,SIAMESE
8,0.4921333333333333,STAT,SIAMESE
1,1.0,STAT,MLP
2,1.0,STAT,MLP
4,1.0,STAT,MLP
8,1.0,STAT,MLP
16,1.0,STAT,MLP
32,1.0,STAT,MLP
64,1.0,STAT,MLP
128,0.9626666666666667,STAT,MLP
256,0.5,STAT,MLP
1,1.0,STAT,CNN
2,1.0,STAT,CNN
4,1.0,STAT,CNN
8,1.0,STAT,CNN
16,1.0,STAT,CNN
32,1.0,STAT,CNN
64,1.0,STAT,CNN
128,0.9622666666666667,STAT,CNN
256,0.5,STAT,CNN
1,1.0,STAT,SIAMESE
2,1.0,STAT,SIAMESE
4,1.0,STAT,SIAMESE
8,1.0,STAT,SIAMESE
16,1.0,STAT,SIAMESE
32,1.0,STAT,SIAMESE
64,1.0,STAT,SIAMESE
128,0.9644,STAT,SIAMESE
256,0.5,STAT,SIAMESE
1,1.0,STAT,MLP
2,0.49666666666666665,STAT,MLP
3,0.4961333333333333,STAT,MLP
4,0.4942666666666667,STAT,MLP
5,0.5088,STAT,MLP
6,0.4964,STAT,MLP
7,0.4982666666666667,STAT,MLP
8,0.49946666666666667,STAT,MLP
1,0.9993333333333333,STAT,CNN
2,0.4856,STAT,CNN
3,0.4972,STAT,CNN
4,0.49866666666666665,STAT,CNN
5,0.49866666666666665,STAT,CNN
6,0.5001333333333333,STAT,CNN
7,0.5064,STAT,CNN
8,0.4988,STAT,CNN
1,1.0,STAT,SIAMESE
2,0.49333333333333335,STAT,SIAMESE
3,0.5016,STAT,SIAMESE
4,0.4945333333333333,STAT,SIAMESE
5,0.5089333333333333,STAT,SIAMESE
6,0.49946666666666667,STAT,SIAMESE
7,0.48706666666666665,STAT,SIAMESE
8,0.49946666666666667,STAT,SIAMESE
1,1.0,STAT,MLP
2,0.5029333333333333,STAT,MLP
3,0.5008,STAT,MLP
4,0.4962666666666667,STAT,MLP
5,0.49133333333333334,STAT,MLP
6,0.4952,STAT,MLP
7,0.49773333333333336,STAT,MLP
8,0.5012,STAT,MLP
1,0.9993333333333333,STAT,CNN
2,0.492,STAT,CNN
3,0.5013333333333333,STAT,CNN
4,0.4956,STAT,CNN
5,0.4964,STAT,CNN
6,0.5068,STAT,CNN
7,0.4992,STAT,CNN
8,0.5022666666666666,STAT,CNN
1,1.0,STAT,SIAMESE
2,0.5021333333333333,STAT,SIAMESE
3,0.5026666666666667,STAT,SIAMESE
4,0.5062666666666666,STAT,SIAMESE
5,0.49733333333333335,STAT,SIAMESE
6,0.5045333333333333,STAT,SIAMESE
7,0.5001333333333333,STAT,SIAMESE
8,0.49733333333333335,STAT,SIAMESE
